
"3RVCIC2D, 2, 0, Q88873181"
"3RVCIC2D, 3, 0, Q88872886"
"3RVCIC2D, 4, 0, Q87061469"
"3RVCIC2D, 5, 0, Q85605029"
"3RVCIC2D, 6, 0, Q78247232"
"3RVCIC2D, 7, 0, Q81031399"
"85TGR8P0, No Wikidata Entities Found"
"11MUJE2L, 1, 0, Q91571634"
"11MUJE2L, 2, 0, Q86816688"
"11MUJE2L, 3, 0, Q83220680"
"11MUJE2L, 4, 0, Q68616490"
"11MUJE2L, 5, 0, Q80607131"
"G06A5VMG, No Wikidata Entities Found"
"JOTL7H8S, 1, 0, Q28823962"
"JOTL7H8S, 1, 1, Q28737076"
"JOTL7H8S, 1, 2, Q23013969"
"8A6358C7, 1, 0, Q11339968"
"8A6358C7, 1, 1, Q929395"
"8A6358C7, 2, 0, Q2239643"
"8A6358C7, 2, 1, Q36894703"
"8A6358C7, 3, 0, Q2212240"
"8A6358C7, 3, 1, Q36894703"
"8A6358C7, 4, 0, Q1791229"
"8A6358C7, 4, 1, Q36894703"
"8A6358C7, 5, 0, Q1740568"
"8A6358C7, 5, 1, Q36894703"
"8A6358C7, 6, 0, Q1514704"
"8A6358C7, 6, 1, Q36894703"
"CFYKPBO3, 1, 1, Q73848923"
"CFYKPBO3, 2, 1, Q65262340"
"CFYKPBO3, 3, 1, Q60985901"
"VHSPXI1U, 1, 1, Q1557682"
"VHSPXI1U, 2, 1, Q1069588"
"VHSPXI1U, 3, 1, Q1069588"
"VHSPXI1U, 4, 1, Q1069588"
"VHSPXI1U, 5, 1, Q1069588"
"VHSPXI1U, 6, 1, Q1069588"
"48JKZUIJ, No Wikidata Entities Found"
"F65M8F3C, 1, 0, Q109316369"
"F65M8F3C, 2, 0, Q109316369"
"F65M8F3C, 3, 0, Q108905641"
"F65M8F3C, 4, 0, Q21449731"
"F65M8F3C, 5, 0, Q832308"
"F65M8F3C, 6, 0, Q820909"
"NNW0J4RU, 1, 0, Q2593047"
"NNW0J4RU, 1, 1, Q316165"
"NNW0J4RU, 2, 0, Q4744708"
"NNW0J4RU, 2, 1, Q11058536"
"NNW0J4RU, 3, 0, Q4714398"
"NNW0J4RU, 3, 1, Q6731363"
"JBTAKAV1, 1, 1, Q846338"
"JBTAKAV1, 2, 1, Q1124160"
"JBTAKAV1, 3, 1, Q1128861"
"JBTAKAV1, 4, 1, Q244449"
"JBTAKAV1, 5, 1, Q11860292"
"GO08I9NN, No Wikidata Entities Found"
"UCBTCDBY, No Wikidata Entities Found"
"9TBY92F4, 1, 0, Q5280285"
"9TBY92F4, 1, 1, Q5280285"
"9TBY92F4, 2, 0, Q90568336"
"9TBY92F4, 2, 1, Q90568336"
"9TBY92F4, 3, 0, Q96199993"
"9TBY92F4, 3, 1, Q5936881"
"0JO87A9Y, 1, 4, Q23982250"
"0JO87A9Y, 2, 1, Q3721861"
"0JO87A9Y, 2, 4, Q3721861"
"0JO87A9Y, 3, 1, Q1613493"
"0JO87A9Y, 3, 4, Q115508906"
"0JO87A9Y, 4, 1, Q1034271"
"0JO87A9Y, 4, 4, Q1034271"
"0HTTC2CF, 1, 0, Q6063521"
"0HTTC2CF, 2, 0, Q6063555"
"0HTTC2CF, 3, 0, Q3417283"
"0HTTC2CF, 4, 0, Q6063471"
"0HTTC2CF, 5, 0, Q526176"
"0HTTC2CF, 6, 0, Q2651388"
"P4214UEJ, 1, 1, Q6923733"
"P4214UEJ, 2, 1, Q111356886"
"P4214UEJ, 3, 1, Q49052714"
"P4214UEJ, 4, 1, Q2700816"
"P4214UEJ, 5, 1, Q358573"
"P4214UEJ, 6, 1, Q244087"
"P4214UEJ, 7, 1, Q85786529"
"ZB1BTB4C, 1, 0, Q7259122"
"ZB1BTB4C, 1, 1, Q4015913"
"ZB1BTB4C, 1, 2, Q7455242"
"ZB1BTB4C, 1, 3, Q63608863"
"P7G5H9TZ, No Wikidata Entities Found"
"BVXMTQBS, No Wikidata Entities Found"
"1XS3T3P4, No Wikidata Entities Found"
"OFL33CS3, No Wikidata Entities Found"
"G5K3GRU6, No Wikidata Entities Found"
"XCP1D5XH, No Wikidata Entities Found"
"1WI5SB8W, 1, 0, Q95031557"
"1WI5SB8W, 2, 0, Q95031510"
"1WI5SB8W, 3, 0, Q95031434"
"1WI5SB8W, 4, 0, Q77842193"
"1WI5SB8W, 5, 0, Q94203846"
"DFRU6OJ0, 1, 0, Q42344347"
"DFRU6OJ0, 2, 0, Q503300"
"DFRU6OJ0, 3, 0, Q33103647"
"DFRU6OJ0, 4, 0, Q61871"
"DFRU6OJ0, 5, 0, Q2349606"
"DFRU6OJ0, 6, 0, Q104095960"
"WPO2CMW6, 2, 0, Q27825013"
"WPO2CMW6, 3, 0, Q111387997"
"WPO2CMW6, 4, 0, Q11240338"
"SUJBVAXP, 1, 0, Q67814713"
"SUJBVAXP, 2, 0, Q23698830"
"SUJBVAXP, 3, 0, Q7715649"
"Q1WXNPHD, 1, 0, Q370519"
"Q1WXNPHD, 2, 0, Q113518705"
"1LAUGX39, 1, 0, Q8544"
"1LAUGX39, 2, 0, Q8488"
"1LAUGX39, 3, 0, Q643759"
"1LAUGX39, 4, 0, Q8456"
"1LAUGX39, 5, 0, Q656975"
"1LAUGX39, 6, 0, Q8450"
"1LAUGX39, 7, 0, Q464205"
"8LJAI1M5, 1, 0, Q108665166"
"8LJAI1M5, 2, 0, Q108661627"
"8LJAI1M5, 3, 0, Q20829242"
"8LJAI1M5, 4, 0, Q110087935"
"Y0MXSX2V, No Wikidata Entities Found"
"PC54CX0I, No Wikidata Entities Found"
"0ZEFN8XZ, 1, 2, Q2638011"
"0ZEFN8XZ, 2, 2, Q24027460"
"0ZEFN8XZ, 3, 2, Q150887"
"AUH91PXB, 1, 0, Q22906342"
"AUH91PXB, 2, 0, Q21070532"
"AUH91PXB, 3, 0, Q17914035"
"HAWQZPKM, 1, 1, Q55656052"
"HAWQZPKM, 1, 2, Q535140"
"HAWQZPKM, 2, 1, Q55656015"
"HAWQZPKM, 2, 2, Q535140"
"HAWQZPKM, 3, 0, Q2016876"
"HAWQZPKM, 3, 1, Q1888125"
"HAWQZPKM, 3, 2, Q726"
"HAWQZPKM, 4, 1, Q55656060"
"HAWQZPKM, 4, 2, Q134560"
"HAWQZPKM, 5, 1, Q55655898"
"HAWQZPKM, 5, 2, Q1637024"
"HAWQZPKM, 6, 1, Q55656059"
"HAWQZPKM, 6, 2, Q26771"
"B7WY06KE, 1, 0, Q20905609"
"B7WY06KE, 2, 0, Q61215935"
"B7WY06KE, 3, 0, Q757013"
"B7WY06KE, 4, 0, Q781876"
"B7WY06KE, 5, 0, Q50407550"
"ZMOMMK8W, 3, 0, Q6919240"
"ZMOMMK8W, 4, 0, Q12068940"
"ZMOMMK8W, 5, 0, Q4631574"
"V0HKC2U2, 1, 1, Q36983526"
"V0HKC2U2, 2, 1, Q2888794"
"V0HKC2U2, 3, 1, Q2888768"
"V0HKC2U2, 4, 1, Q1915220"
"K5Y9RHWH, No Wikidata Entities Found"
"E8QHGYM0, 1, 2, Q23795082"
"E8QHGYM0, 2, 1, Q742835"
"E8QHGYM0, 2, 2, Q12895071"
"E8QHGYM0, 3, 1, Q658207"
